# Nutrient RETENTION factors — what survives COOKING. Percent of the raw amount remaining.
# USDA Table of Nutrient Retention Factors Release 6 (2007) as shipped in the INDB repo
# (USDA_nrf.xlsx). Filtered to the food classes and the seven nutrients this system tracks.
#
# THIS IS NOT BIOAVAILABILITY. forms.csv answers 'how much gets absorbed' (phytate).
# This answers 'how much is still in the pot'. They multiply — they do not substitute:
#
#     delivered = raw x (retention/100) x (absorption from forms.csv)
#
# Read the two together or you will double-count a win. The single most useful row here is
# the boiled-and-DRAINED vs boiled-WATER-USED pair: draining dal water is where folate and
# potassium actually go. That is a cooking decision this table can settle and forms.csv cannot.
#
# ret_* = percent retained. Blank = USDA published no factor for that pair.
# class is USDA's own food grouping - it is coarse and Western. A dal is a legume here and
# nothing finer exists. Applying 'VEG,GREENS' to palak is an assumption not a measurement.
class,iron,calcium,zinc,magnesium,potassium,vitc,folate
EGGS · BAKED,100,100,100,100,100,80,75
EGGS · FRIED · SCRAMBLED,100,100,100,100,100,80,75
EGGS · HARD COOKED,100,100,100,100,100,80,75
EGGS · POACHED,100,100,100,100,100,80,75
EGGS · REHEATED,100,100,100,100,100,95,95
MILK · HEATED APPROX 10MIN,100,100,100,100,100,85,85
MILK · HEATED APPROX 30MIN,100,100,100,100,100,65,80
MILK · HEATED APPROX 1 HOUR,100,100,100,100,100,45,70
MILK · REHEATED,100,100,100,100,100,95,95
CEREAL · INST · COOKED,100,100,100,100,100,90,100
CEREAL · REG/QUICK · COOKED,95,100,100,100,95,80,70
VEG · GREENS · BAKED,100,100,100,100,100,70,75
VEG · GREENS · BOILD · LITTLE WATER DRAIN,95,95,95,95,90,60,65
VEG · GREENS · BOILED · WATER COVER DRAIN,95,95,95,95,85,55,60
VEG · GREENS · BOILED · WATER USED,100,100,100,100,100,70,75
VEG · GREENS · STIR FRY,100,100,100,100,100,85,85
VEG · GREENS · REHEATED,100,100,100,100,100,95,95
VEG · GREENS · COOKED FROM FROZEN · DRAIN,100,100,100,100,100,60,55
VEG · ROOTS · ETC · BAKED,100,100,100,100,100,75,80
VEG · ROOTS · ETC · BLD · DRAIND · LITTLE WTR,95,95,95,95,90,70,70
VEG · ROOTS · ETC · BLD · DRAIND · WTR COVER,95,95,95,95,90,65,65
VEG · ROOTS · ETC · BOILED · WATER USED,100,100,100,100,100,75,80
VEG · ROOTS · ETC · SAUTEED,100,100,100,100,100,75,70
VEG · ROOTS · ETC · STEAMED,100,100,100,100,100,75,80
VEG · ROOTS · ETC · STIR FRY,100,100,100,100,100,80,80
VEG · ROOTS · ETC · REHEATED,100,100,100,100,100,95,95
VEG · ROOTS · ETC · CKD FROM FRZN · DRAINED,95,95,95,95,90,70,70
VEG · OTHER · BAKED,100,100,100,100,100,85,85
VEG · OTHER · BLD · LITTLE WATER · DRAINED,95,95,95,95,90,80,70
VEG · OTHER · BLD · WATER COVER · DRAINED,95,95,95,95,90,75,65
VEG · OTHER · BLD · WATER USED,100,100,100,100,100,85,85
VEG · OTHER · FRIED,100,100,100,100,100,85,70
VEG · OTHER · STEAMED,100,100,100,100,100,85,85
VEG · OTHER · STIR FRY,100,100,100,100,100,85,80
VEG · OTHER · REHEATED,100,100,100,100,100,90,95
VEG · OTHER · CKD FROM FRZN(BLD · DRAIND,95,95,95,95,90,80,70
NUTS · BAKED · W/DRIPPINGS,100,100,100,100,100,80,80
NUTS · BROILED,100,100,100,100,100,80,80
NUTS · ROASTED,100,100,100,100,100,80,80
NUTS · BOILED · W/DRIPPINGS,100,100,100,100,100,80,80
LEGUMES · CKD 15/20MIN · BOILED · DRAINED,85,85,85,80,75,65,60
LEGUMES · CKD 15/20MIN · BLD · WATER USED,90,90,90,85,80,70,65
LEGUMES · CKD 15/20MIN · BLD · DRAIND · BKD,85,85,85,80,75,60,55
LEGUMES · CKD 15/20MIN · BOILED+BAKED,90,90,90,85,80,65,60
LEGUMES · CKD 15/20MIN · BLD · DRND · FRIED,85,85,85,80,75,60,55
LEGUMES · CKD 15/20MIN · BOILED+FRIED,90,90,90,85,80,65,60
LEGUMES · CKD 45/75MIN · BOILED · DRND,80,85,85,75,70,65,45
LEGUMES · CKD 45/75MIN · BLD · WATER USED,85,90,90,80,75,70,50
LEGUMES · CKD 45/75MIN · BLD · DRND · BKD,80,85,85,75,70,60,40
LEGUMES · CKD 45/75MIN · BOILED+BAKED,85,90,90,80,75,65,45
LEGUMES · CKD 45/75MIN · BLD · DRND · FRIED,80,85,85,75,70,60,40
LEGUMES · CKD 45/75MIN · BOILED+FRIED,85,90,90,80,75,65,45
LEGUMES · CKD 2/2.5HRS · BOILED · DRAINED,75,85,85,70,65,65,30
LEGUMES · CKD 2/2.5HRS · BLD · WATER USED,80,90,90,75,70,70,35
LEGUMES · CKD 2/2.5HRS · BLD · DRND · BKD,75,85,85,70,65,60,25
LEGUMES · CKD 2/2.5HRS · BOILED+BAKED,80,90,90,75,70,65,30
LEGUMES · CKD 2/2.5HRS · BLD · DRND · FRIED,75,85,85,70,65,60,25
LEGUMES · CKD 2/2.5HRS · BOILED+FRIED,80,90,90,75,70,65,30
LEGUMES · REHEATED,100,100,100,100,100,95,95
