# Ingredient nutrient table — the data source for the planner, the shop list and the menu generator.
# Values are PER ONE UNIT of the stated unit (multiply by qty). Micros are rough estimates.
# pantry: 1 = on hand. base: 1 = can START a plate. green/probiotic: functional flags. role: for recipe phrasing (base/protein/veg/green/aromatic/sour/seed/fruit/condiment/dairy).
# topper: 1 = a micro-layer item the menu generator may ADD to any slot to repair a nutrient gap (seeds/greens/sours/moringa).
#         Only toppers are addable, and only one serving per day — that is what keeps a repair edible.
# shelf = days it keeps AFTER buying — decides the shopping run (<=3 fresh/daily · 4-14 weekly · >14 monthly staple).
#         it also caps how far ahead you can buy: you cannot stock a month of spinach.
# pack  = how many of `unit` come in one purchase pack. packname = what you actually ask for at the shop.
#         CAREFUL: for dals/grains `unit` is a COOKED cup but you buy a DRY packet. Convert, don't eyeball:
#         g_dry_per_cup = kcal_per_cup / (kcal_per_g_dry)  -> 1 cup cooked dal = ~35 g dry, so a 1 kg packet = 28 cups.
#         Getting this wrong silently multiplies every buy (a 12-cup dal pack over-buys 2.3x).
#         all of these are estimates — tune them and re-run `python3 app.py import-csv`.
# No commas inside any field.
# lead = HOURS of ahead-time needed BEFORE you can cook with this (soaking, sprouting).
#   `effort` is cook time; `lead` is the thing effort misses. A 12-min rajma bowl is a fiction
#   if nobody soaked the rajma last night. The menu page turns this into a nightly prep queue.
# prep = what you actually do. No commas.
# makes = space-sep raw input ids this row is MADE from (soaking/sprouting/bhuna). Presence marks a
#   PREP OUTPUT — a thing you make, not buy. It gets its own stock + freshness clock (shelf). Marking a
#   prep "done" on index/menu bumps this row's stock; it then expires on its own shelf-life clock.
# needform/gated = the FLAG escape hatch for effects that are real but unquantified (forms.csv
#   mechanism=matrix/fat). needform = the form.csv id that must be applied; gated = the nutrients
#   that should NOT be credited until it is. A flag not a multiplier: the planner WARNS, it never
#   silently scales. Whole til really does deliver far less calcium than ground til - declining to
#   invent the percentage is not the same as claiming the effect is zero.
# keep = 1 = a STANDING prep you always want a batch of ready — the prep queue nags when its stock is empty.
# --- EXPANSION (2026-07-19): rows below generated from ICMR-NIN IFCT 2017 via the `ifct2017` npm
# --- package - real per-100g composition scaled to the unit here. Energy from enerc (kJ -> kcal); the
# --- oils/fats table carries no enerc so those are 9 kcal/g of fat. vita = retinol + carotene-eq/12 (ug RAE).
# --- Non-nutrient columns (pantry/pack/shelf/prep) are still hand-set estimates - tune them.
# --- Known IFCT gaps: it measures no retinol for dairy so milk/paneer vitA reads low; B12 is not a column at all.
# --- COVERAGE PASS: added by enumerating IFCT groups rather than by recall. Numbers are all
# --- 0 here on purpose — `python3 app.py ifct-derive --write` fills them from the table.
# --- PREP OUTPUTS: things you MAKE not buy. `makes` links each to the raw ids it comes from; marking
# --- it done (index/menu prep queue) bumps its stock and starts the shelf-life clock. sprout is one too.
id,name,unit,default,pantry,base,green,probiotic,topper,role,kcal,protein,carbs,fibre,iron,calcium,vitc,folate,omega3,omega3_dha,zinc,vita,magnesium,potassium,note,shelf,pack,packname,lead,prep,makes,keep,needform,gated,ifct_code,grams,grams_src
potato,Potato,serving,1,1,1,0,0,0,base,35,0.8,7.4,0.9,0.28,5,11.6,8,0.02,0,0.14,0,12,270,the base you already had at home and the table never knew about,21,5,500 g,0,,,0,,,F006,50,ICMR-NIN DGI 2024 root serving (50g/day)
brinjal,Brinjal,serving,1,0,0,0,0,0,veg,25,1.5,3.5,4,0.37,17,2.1,34,0.02,0,0.21,12,21,247,,7,4,250 g,0,,,0,,,D031,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
bhindi,Bhindi (okra),serving,1,0,0,0,0,0,veg,27,2.1,3.6,4.1,0.84,86,22.5,64,0.03,0,0.45,6,66,263,86 mg calcium per 100 g - the quiet calcium veg,5,4,250 g,0,,,0,,,D056,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
radish,Radish (mooli),serving,1,0,0,0,0,0,veg,16,0.4,3.3,1.3,0.18,15,10,15,0.02,0,0.11,0,8,144,buy it for the leaves too - see mooli_leaf,10,4,500 g,0,,,0,,,F010,50,ICMR-NIN DGI 2024 root serving (50g/day)
springonion,Spring onion,serving,1,0,0,0,0,0,veg,26,2.1,3,5.2,3.09,31,27.2,58,0.04,0,0.99,58,67,312,iron 3.1 mg/100 g - far above the bulb onion,7,4,bunch,0,,,0,,,D058,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
arbi,Arbi (colocasia),serving,1,0,1,0,0,0,base,44,1.7,8.9,1.6,0.33,15,0.9,10,0,0,0.2,0,18,257,,14,4,500 g,0,,,0,,,F004,50,ICMR-NIN DGI 2024 root serving (50g/day)
ashgourd,Ash gourd,serving,1,0,0,0,0,0,veg,17,0.8,2.8,3.4,0.47,19,11.4,14,0,0,0.13,0,20,372,,14,4,500 g,0,,,0,,,D001,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
guar,Cluster beans (guar),serving,1,0,0,0,0,0,veg,40,3.5,4.9,4.8,3.9,121,18,41,0.06,0,0.61,20,82,301,iron 3.9 mg and calcium 121 mg per 100 g,7,4,250 g,0,,,0,,,D039,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
snakegourd,Snake gourd,serving,1,0,0,0,0,0,veg,12,0.9,1.2,2.3,0.47,27,2.9,17,0.05,0,0.2,5,22,104,,5,4,250 g,0,,,0,,,D071,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
rawjack,Raw jackfruit,serving,1,0,0,0,0,0,veg,26,2,3.5,7.7,0.31,46,17.5,36,0.04,0,0.17,0,27,327,,5,3,500 g,0,,,0,,,D051,100,ICMR-NIN DGI 2024 vegetable serving (250g/day)
lettuce,Lettuce,serving,1,0,0,1,0,1,green,16,1.2,2.3,1.3,2.05,43,8.9,23,0.1,0,0.38,80,32,209,raw-salad green - iron 2.7 mg/100 g,7,6,1 head,0,,,0,,,C025,75,ICMR-NIN DGI 2024 glv serving (100g/day)
